udate	route	stid	stname	ptnum	pdnum	regd
20190301	경원선	1913	동두천중앙	3532	3336	20190304
20190301	경원선	1914	보산	1813	1523	20190304
20190301	경원선	1915	동두천	2147	2715	20190304
20190301	경원선	1916	소요산	5519	4292	20190304
20190301	일산선	1948	원흥	6158	5608	20190304
20190323	일산선	1949	지축	1	0	20190326
20190301	일산선	1950	삼송	14558	13730	20190304
20190301	일산선	1951	원당	9502	9139	20190304
20190301	일산선	1952	화정	15881	16584	20190304
20190301	일산선	1953	대곡	1397	1220	20190304
20190301	일산선	1954	백석	9813	9965	20190304
20190301	일산선	1955	마두	6277	6415	20190304
20190301	일산선	1956	정발산	8457	9108	20190304
20190301	일산선	1957	주엽	7618	7748	20190304
20190301	일산선	1958	대화	11382	9930	20190304
20190301	5호선	2511	방화	5802	5321	20190304
20190301	5호선	2512	개화산	4291	3944	20190304
20190301	5호선	2513	김포공항	8064	7357	20190304
20190301	5호선	2514	송정	7169	7036	20190304
20190301	5호선	2515	마곡	4087	3719	20190304
20190301	5호선	2516	발산	12521	13422	20190304
20190301	5호선	2517	우장산	10698	10567	20190304
20190301	5호선	2518	화곡	22601	20467	20190304
20190301	5호선	2519	까치산	23189	21650	20190304
20190301	5호선	2520	신정(은행정)	10028	8315	20190304
20190301	5호선	2521	목동	12648	12867	20190304
20190301	5호선	2522	오목교(목동운동장앞)	18043	19237	20190304
20190301	5호선	2523	양평	3741	3492	20190304
20190301	5호선	2524	영등포구청	1819	1859	20190304
20190301	5호선	2525	영등포시장	7358	7699	20190304
20190301	5호선	2526	신길	2173	2415	20190304
20190301	5호선	2527	여의도	8813	10290	20190304
20190301	5호선	2528	여의나루	11321	11503	20190304
20190301	5호선	2529	마포	8051	7989	20190304
20190301	5호선	2530	공덕	7854	8287	20190304
20190301	5호선	2531	애오개	4421	4254	20190304
20190301	5호선	2532	충정로(경기대입구)	2758	2164	20190304
20190301	5호선	2533	서대문	12801	11242	20190304
20190301	5호선	2534	광화문(세종문화회관)	47546	47052	20190304
20190301	5호선	2535	종로3가	23281	23199	20190304
20190301	5호선	2536	을지로4가	4269	5239	20190304
20190301	5호선	2537	동대문역사문화공원	1264	1578	20190304
20190301	5호선	2538	청구	3051	2800	20190304
20190301	5호선	2539	신금호	4647	4639	20190304
20190301	5호선	2540	행당	5895	4952	20190304
20190301	5호선	2541	왕십리(성동구청)	4142	5371	20190304
